a                   un                                      
long                largo                                   
long-range          de largo alcance                        
long-term           a largo plazo                           
longevity           longevidad                              
longhand            escritura a mano                        
longhorn            cornilargo                              
longing             anhelo                                  
longitude           longitud                                
longitudinal        longitudinal                            
longshoreman        obrero portuario                        
longstanding        antiguo                                 
loom                telar                                   
loon                patán                                   
loop                bucle                                   
loopback            lazo cerrado                            
loophole            aspillera                               
loose               flojo                                   
loosely             flojamente                              
looseness           soltura                                 
loot                botín                                   
looting             saqueo                                  
lop                 corte                                   
lope                galope                                  
lopsided            desequilibrado                          
loquacious          locuaz                                  
loquacity           locuacidad                              
lord                señor                                   
lore                erudición                               
Lorraine            Lorena                                  
lorry               camión                                  
loser               perdedor                                
losing              perdedor                                
loss                pérdida                                 
lost                perdido                                 
lot                 lote                                    
lotion              crema                                   
lots                muchos                                  
lottery             lotería                                 
lotus               loto                                    
loud                fuerte (sonido -)                       
loudly              ruidosamente                            
loudspeaker         altavoz                                 
Louisiana           Luisiana                                
lounge              sala                                    
louse               piojo                                   
lousy               piojoso                                 
lout                patán                                   
loutish             rudo                                    
love                amar                                    
loveless            sin amor                                
loveliness          encanto                                 
lovely              amable                                  
lover               amante                                  
lovesick            enamorado                               
lovesickness        mal de amores                           
loving              amoroso                                 
low                 bajo                                    
low-class           de clase baja                           
lower               inferior                                
lowering            amenazador                              
lowland             tierra baja                             
lowly               humilde                                 
loyal               fiel                                    
loyalist            leal                                    
loyalty             lealtad                                 
lozenge             rombo                                   
lubricant           lubrificante                            
lubricate           lubrificar                              
lubrication         lubricación                             
lubricity           lubricidad                              
Lucerne             Lucerna                                 
lucid               lúcido                                  
lucidity            lucidez                                 
lucidly             lúcidamente                             
luck                suerte                                  
luckily             por suerte                              
luckless            desafortunado                           
lucky               afortunado                              
lucrative           lucrativo                               
lucre               lucro                                   
ludicrous           absurdo                                 
luggage             equipaje                                
lugubrious          lúgubre                                 
lukewarm            tibio                                   
lull                calma                                   
lullaby             arrullo                                 
lumbago             lumbago                                 
lumbar              lumbar                                  
lumber              madera                                  
lumbering           maderaje                                
lumberjack          leñador                                 
lumberman           maderero                                
lumberyard          almacén                                 
lumbrical           lúmbrico                                
luminary            luminaria                               
luminosity          luminosidad                             
luminous            luminoso                                
lump                terrón                                  
lumpish             estúpido                                
lunacy              locura                                  
lunar               lunar                                   
lunatic             lunático                                
lunch               almuerzo                                
luncheon            almuerzo                                
lung                pulmón                                  
lunge               estocada                                
lupin               altramuz                                
lurch               sacudida                                
lure                señuelo                                 
lurid               pavoroso                                
lurk                escondite                               
lurker              mirón                                   
lurking             escondido                               
luscious            delicioso                               
lush                suculento                               
lust                lujuria                                 
lustful             lujurioso                               
lustrous            lustroso                                
lusty               lozano                                  
lute                laúd                                    
Lutheran            luterano                                
luxation            luxación                                
Luxembourg          Luxemburgo                              
luxuriance          exuberancia                             
luxuriant           exuberante                              
luxurious           lujoso                                  
luxuriousness       lujo                                    
luxury              lujo                                    
lying               mentiroso                               
lymph               linfa                                   
lymphatic           linfático                               
lynching            linchamiento                            
lynx                lince                                   
Lyon                Lyon                                    
lyre                lira                                    
lyric               letra                                   
lyrical             lírico                                  
lyricism            lirismo                                 
macabre             macabro                                 
macaroni            macarrones                              
macaronic           macarrónico                             
macaroon            macarrón (bollo)                        
mace                maza                                    
Macedonia           Macedonia                               
maceration          maceración                              
machete             machete                                 
machination         maquinación                             
machine             máquina                                 
machinery           maquinaria                              
machinist           maquinista                              
macho               machista                                
mackerel            caballa                                 
macro               macroinstrucción                        
macrocosm           macrocosmos                             
macrocosmic         macrocósmico                            
macula              mácula                                  
madam               señora                                  
Madame              señora                                  
madcap              atolondrado                             
maddening           enloquecedor                            
madly               locamente                               
madman              loco                                    
madness             locura                                  
Madrid              Madrid                                  
madrigal            madrigal                                
maelstrom           vorágine                                
maestro             maestro                                 
Mafia               mafia                                   
magazine            revista                                 
maggot              larva                                   
maggoty             agusanado                               
magic               magia                                   
magical             mágico                                  
magician            mago                                    
magisterial         magistral                               
magistrate          magistrado                              
magnanimity         magnanimidad                            
magnanimous         magnánimo                               
magnate             magnate                                 
magnesia            magnesia                                
magnesium           magnesio                                
magnet              imán                                    
magnetic            magnético                               
magnetism           magnetismo                              
magnetization       magnetización                           
magnetize           magnetizar                              
magneto             magneto                                 
magnificence        magnificencia                           
magnificent         magnífico                               
magnifier           ampliadora                              
magnitude           magnitud                                
magpie              urraca                                  
maid                criada                                  
maiden              doncella                                
maidservant         criada                                  
mail                correo                                  
mail-merging        fusión postal                           
mailbag             saca de correo                          
mailbox             buzón                                   
mailman             cartero                                 
maim                mutilación                              
main                principal                               
Maine               Maine                                   
mainframe           gran ordenador                          
mainland            continente                              
mainly              principalmente                          
mainsail            vela mayor                              
mainspring          causa principal                         
mainstay            soporte principal                       
maize               maíz                                    
majestic            majestuoso                              
majestically        majestuosamente                         
majesty             majestad                                
major               mayor                                   
Majorca             Mallorca                                
majority            mayoría                                 
make-believe        simulado                                
make-up             maquillaje                              
maker               fabricante                              
makeshift           provisional                             
makeup              maquillaje                              
making              fabricación                             
maladjusted         inadaptado                              
maladroit           torpe                                   
malady              enfermedad                              
malaise             indisposición                           
malar               malar                                   
malaria             malaria                                 
malcontent          descontento                             
male                macho                                   
malefactor          malhechor                               
malevolence         malevolencia                            
malevolent          malévolo                                
malice              malicia                                 
malicious           malévolo                                
malign              maligno                                 
malignancy          malignidad                              
mallard             anadón                                  
malleable           maleable                                
mallet              mazo                                    
malnutrition        desnutrición                            
malpractice         negligencia                             
malt                malta                                   
maltreatment        maltrato                                
mama                mamá                                    
mammal              mamífero                                
mammoth             gigantesco                              
mammy               mamaíta                                 
man                 hombre                                  
man-at-arms         hombre de armas                         
man-made            artificial                              
manageable          manejable                               
management          gestión                                 
manager             administrador                           
manageress          directora                               
managerial          directivo                               
managing            gerente                                 
mandarin            mandarín                                
mandate             mandato                                 
mandatory           obligatorio                             
mandible            mandíbula                               
mandolin            mandolina                               
mandrel             mandril                                 
mane                melena                                  
maneuver            maniobra                                
manful              viril                                   
mange               sarna                                   
manger              pesebre                                 
mangle              planchadora (máquina)                   
mango               mango                                   
mangy               sarnoso                                 
manhole             boca de inspección                      
manhood             hombría                                 
maniac              maníaco                                 
maniac-depressive   maniaco-depresivo                       
manicure            manicura                                
manicurist          manicuro                                
manifest            manifiesto                              
manifestation       manifestación                           
manifesto           manifiesto                              
manipulation        manipulación                            
manipulator         manipulador                             
mankind             humanidad                               
manliness           virilidad                               
manly               varonil                                 
manna               maná                                    
mannequin           maniquí                                 
manner              manera                                  
mannerism           amaneramiento                           
manners             educación                               
mannish             varonil                                 
manometer           manómetro                               
manor               feudo                                   
manpower            mano de obra                            
manservant          criado                                  
mansion             palacio                                 
manslaughter        homicidio involuntario                  
mantelpiece         repisa (de una chimenea)                
mantis              cortón                                  
manual              manual                                  
manually            manualmente                             
manufacturing       fabricación                             
manure              estiércol                               
manuring            estercolado                             
manuscript          manuscrito                              
many                muchos                                  
map                 correspondencia                         
mapping             cartografía                             
marathon            maratón                                 
marauding           merodeo                                 
marble              mármol                                  
marbled             amarmolado                              
march               marcha                                  
March               marzo                                   
mare                yegua                                   
margarine           margarina                               
marge               margen                                  
margin              margen                                  
marginal            marginal                                
marijuana           marihuana                               
marine              marino                                  
mariner             marinero                                
marionette          marioneta                               
marital             matrimonial                             
maritime            marítimo                                
markdown            rebaja                                  
marked              marcado                                 
marker              marcador                                
market              mercado                                 
marketable          comerciable                             
marketing           marketing                               
marksman            tirador                                 
marksmanship        puntería                                
marmalade           mermelada                               
marmoset            tití                                    
maroon              castaña                                 
marriage            matrimonio                              
married             casado                                  
marrow              médula                                  
Mars                Marte                                   
Marseille           Marsella                                
marsh               pantano                                 
marshal             mariscal                                
marsupial           marsupial                               
mart                mercado                                 
martial             marcial                                 
Martian             marciano                                
martini             martini                                 
martyr              mártir                                  
martyrdom           martirio                                
marvel              maravilla                               
marvelous           maravilloso                             
Marxism             marxismo                                
Marxist             marxista                                
Maryland            Maryland                                
mascot              mascota                                 
masculine           masculino                               
masculinity         masculinidad                            
mash                masa                                    
mask                máscara                                 
masked              enmascarado                             
masochist           masoquista                              
masochistic         masoquista                              
mason               albañil                                 
masonry             albañilería                             
masquerade          mascarada                               
mass                masa                                    
Massachusetts       Massachusetts                           
massacre            matanza                                 
massage             masaje                                  
masseter            masetero                                
masseur             masajista                               
masseuse            masajista                               
massive             macizo                                  
mast                mástil                                  
master              amo                                     
masterful           dominante                               
masterly            hábil                                   
mastermind          cerebro                                 
masterpiece         obra maestra                            
mastery             dominio                                 
masticate           masticar                                
mastication         masticación                             
mastiff             mastín                                  
masturbate          masturbar                               
masturbation        masturbación                            
mat                 estera                                  
match               cerilla                                 
matchbox            caja de cerillas                        
matching            correspondiente                         
matchless           sin igual                               
mate                compañero                               
material            material                                
maternal            maternal                                
maternity           maternidad                              
mathematical        matemático                              
mathematician       matemático                              
mathematics         matemáticas                             
matinee             matiné                                  
mating              emparejamiento                          
matrass             matraz                                  
matrimonial         matrimonial                             
matrimony           matrimonio                              
matrix              matriz                                  
matron              matrona                                 
matter              materia                                 
matter-of-fact      hecho cierto                            
mattress            colchón                                 
maturity            madurez                                 
maul                mazo                                    
mausoleum           mausoleo                                
maxim               máxima                                  
maximal             máximo                                  
maximize            maximizar                               
maximum             máximo                                  
May                 mayo                                    
maybe               quizá                                   
mayonnaise          mahonesa                                
maze                laberinto                               
mbone               red troncal multimedia                  
mead                aguamiel                                
meadow              pasto                                   
meager              magro                                   
meagre              corvina                                 
meal                comida                                  
mealtime            hora de comer                           
mealy               harinoso                                
mean                malo                                    
meander             meandro                                 
meaningful          significativo                           
meaningless         sin sentido                             
meanness            humildad                                
meantime            entretanto                              
meanwhile           entretanto                              
measles             sarampión                               
measurable          mensurable                              
measure             medida                                  
measured            moderado                                
measurement         medida                                  
meat                carne (para comer)                      
meaty               carnoso                                 
mechanic            mecánico                                
mechanical          mecánico                                
mechanics           mecánica                                
mechanism           mecanismo                               
mechanization       mecanización                            
Mecklenburg         Mecklemburgo                            
medal               medalla                                 
medalist            numismático                             
meddlesome          entrometido                             
meddling            entretenimiento                         
media               medios                                  
medial              medio                                   
median              mediana                                 
mediate             mediato                                 
mediation           mediación                               
mediator            mediador                                
medical             médico                                  
medicament          medicamento                             
medication          medicación                              
medicinal           medicinal                               
medicine            medicina                                
medieval            medieval                                
mediocre            mediocre                                
mediocrity          mediocridad                             
meditation          meditación                              
meditative          meditativo                              
Mediterranean       mediterráneo                            
medium              medio                                   
medlar              níspero                                 
medley              mezcla                                  
medulla             médula                                  
meek                manso                                   
meekness            mansedumbre                             
meeting             reunión                                 
mega                mega (prefijo griego correspondiente a 1.000.000)
megacycle           megaciclo                               
megahertz           megahercio (unidad equivalente a 1.000.000 hercios)
megalomania         megalomanía                             
megaphone           megáfono                                
megrim              gallo                                   
meiosis             meyosis                                 
melancholia         melancolía                              
melancholic         melancólico                             
melancholy          melancolía                              
melanocyte          melanocito                              
melanosoma          melanosoma                              
mellifluous         melifluo                                
mellow              maduro                                  
melodic             melódico                                
melodious           melodioso                               
melodrama           melodrama                               
melodramatic        melodramático                           
melody              melodía                                 
melon               melón                                   
melt                fusión                                  
meltdown            fundición                               
member              miembro                                 
membership          conjunto de miembros                    
membrane            membrana                                
membranous          membranoso                              
memento             recuerdo                                
memo                memorándum                              
memoir              memoria                                 
memorable           memorable                               
memorandum          memorándum                              
memorial            conmemorativo                           
memory              memoria                                 
men                 hombres                                 
menace              amenaza                                 
menage              menaje                                  
mendacious          mendaz                                  
mendacity           mendacidad                              
mendicant           mendicante                              
menial              criado                                  
meningitis          meningitis                              
meningococcus       meningococo                             
meniscus            menisco                                 
menopause           menopausia                              
menstrual           menstrual                               
menstruation        menstruación                            
mensuration         medición                                
menswear            ropa de caballeros                      
mental              mental                                  
mentality           mentalidad                              
mentally            mentalmente                             
menthol             mentol                                  
mention             mención                                 
mentor              mentor                                  
menu                carta                                   
meow                maullido                                
mercantile          mercantil                               
mercenary           mercenario                              
merchandise         mercancía                               
merchandising       comercialización                        
merchant            comerciante                             
merchantable        comercializable                         
merchantman         buque mercante                          
merciful            misericordioso                          
merciless           implacable                              
mercurial           mercurial                               
Mercury             Mercurio                                
mercury             mercurio                                
mercy               misericordia                            
mere                mero                                    
merely              meramente                               
merge               fusión                                  
merging             fusión                                  
meridian            meridiano                               
meringue            merengue                                
merit               mérito                                  
meritorious         meritorio                               
mermaid             sirena                                  
Merovingian         merovingio                              
merriment           alegría                                 
merry               alegre                                  
merry-go-round      tiovivo                                 
mesentery           mesenterio                              
mesh                malla                                   
mess                enredo                                  
message             recado                                  
messenger           mensajero                               
messiah             mesías                                  
messianic           mesiánico                               
messy               desarreglado                            
metabolism          metabolismo                             
metabolization      metabolización                          
metacarpus          metacarpo                               
metal               metal                                   
metallic            metálico                                
metalwork           metalistería                            
metalworker         obrero metalúrgico                      
metamorphosis       metamorfosis                            
metaphor            metáfora                                
metaphoric          metafórico                              
metaphysical        metafísico                              
metaphysics         metafísica                              
metatarsus          metatarso                               
meteor              meteoro                                 
meteoric            meteórico                               
meteorite           meteorito                               
meteoroid           meteorito                               
meteorological      meteorológico                           
meteorologist       meteorólogo                             
meteorology         meteorología                            
meter               metro                                   
methane             metano                                  
method              método                                  
methodical          metódico                                
Methodism           metodismo                               
Methodist           metodista                               
methodology         metodología                             
methyl              metilo                                  
meticulous          meticuloso                              
metonymy            metonimia                               
metric              métrico                                 
metronome           metrónomo                               
metropolis          metrópoli                               
metropolitan        metropolitano                           
mettle              temple                                  
mettlesome          brioso                                  
mew                 maullido                                
Mexican             mexicano                                
Mexico              México                                  
mezzanine           entresuelo                              
mezzo-soprano       mezzosoprano                            
MFLOPS              MFLOPS (millones de operaciones en coma flotante por segundo)
Miami               Miami                                   
miaow               maullido                                
Michelangelo        Miguel Ángel                            
Michigan            Míchigan                                
micro               micro                                   
microbe             microbio                                
microbiological     microbiológico                          
microbiology        microbiología                           
microchip           microchip                               
microcosm           microcosmo                              
microelectronics    microelectrónica                        
microfiche          microficha                              
microfilm           microfilm                               
microgram           microgramo                              
micrometer          micrómetro                              
micron              micra                                   
microorganism       microorganismo                          
microprogramming    microprogramación                       
microscope          microscopio                             
microscopic         microscópico                            
microsecond         microsegundo                            
miction             micción                                 
mid                 medio                                   
midday              mediodía                                
middle              medio                                   
middle-aged         de mediana edad                         
middle-class        clase media                             
middleman           intermediario                           
middling            mediano                                 
midget              enano                                   
midnight            medianoche                              
midriff             diafragma                               
midshipman          guardiamarina                           
midst               centro                                  
midstream           centro del río                          
midsummer           canícula                                
midway              mitad del camino                        
midwife             partera                                 
midwifery           partería                                
midwinter           pleno invierno                          
mielyn              mielina                                 
mightily            poderosamente                           
mighty              poderoso                                
migraine            dolor de cabeza                         
migrant             emigrante                               
migration           emigración                              
migratory           migratorio                              
mike                micrófono                               
Milan               Milán                                   
milch-cow           vaca lechera                            
mild                suave                                   
mildew              moho                                    
mildly              suavemente                              
mildness            suavidad                                
mile                milla                                   
mileage             kilometraje                             
milestone           hito                                    
militancy           belicosidad                             
militant            militante                               
militarism          militarismo                             
militarist          militarista                             
militarize          militarizar                             
military            ejército                                
militia             milicia                                 
militiaman          miliciano                               
milk                leche                                   
milker              ordeñadora                              
milkman             lechero                                 
mill                molino                                  
millennial          milenario                               
millennium          milenio                                 
miller              molinero                                
millet              mijo                                    
milliampere         miliamperio (unidad equivalente a una milésima de amperio)
milligram           miligramo                               
milliliter          mililitro                               
millimeter          milímetro                               
milliner            sombrerera                              
milling             molienda                                
million             millón                                  
millionaire         millonario                              
millionth           millonésimo                             
millstone           piedra de molino                        
mime                mimo                                    
mimic               imitador                                
mimicry             imitación                               
minaret             alminar                                 
mincemeat           carne picada                            
mind                mente                                   
minded              dispuesto                               
mindful             atento                                  
mindless            tonto                                   
minefield           campo de minas                          
miner               minero                                  
mineral             mineral                                 
mineralogist        mineralogista                           
mineralogy          mineralogía                             
miniature           miniatura                               
miniaturize         miniaturizar                            
minimal             mínimo                                  
minimum             mínimo                                  
mining              minería                                 
minion              favorito                                
ministerial         ministerial                             
ministration        suministro                              
mink                visón                                   
Minnesota           Minnesota                               
minnow              pececillo                               
minor               menor                                   
minority            minoría                                 
minstrel            trovador                                
minuet              minué                                   
minus               menos                                   
minuscule           minucioso                               
minute              minuto                                  
minutely            minuciosamente                          
minutes             acta                                    
minutiae            minucias                                
minx                bribona                                 
miracle             milagro                                 
miraculous          milagroso                               
mirage              espejismo                               
mire                fango                                   
mirror              espejo                                  
mirth               alegría                                 
mirthless           melancólico                             
misadventure        desgracia                               
